X..name,mass,radius,orbital_period,eccentricity,discovered,detection_type,mass_detection_type,radius_detection_type,ra,dec,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,detection,mass_group,radius_group,star_mass_group,star_radius_group,discovery_group,metallicity_group,temperature_group
Kepler-294 c,NA,0.242,6.6264,NA,2014,Primary Transit,,,287.39199825,46.059311,NA,-0.001,NA,0.98,NA,5913,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-295 b,NA,0.109,12.645164,NA,2014,Primary Transit,,,285.34585575,45.367786,NA,-0.332,NA,0.9,NA,5603,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-295 c,NA,0.104,21.526258,NA,2014,Primary Transit,,,285.34585575,45.367786,NA,-0.332,NA,0.9,NA,5603,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-295 d,NA,0.121,33.884054,NA,2014,Primary Transit,,,285.34585575,45.367786,NA,-0.332,NA,0.9,NA,5603,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-296 b,NA,0.084,3.621457,NA,2014,Primary Transit,,,286.5400086,49.437325,NA,0.168,NA,0.56,NA,4249,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-296 c,NA,0.192,5.841648,NA,2014,Primary Transit,,,286.5400086,49.437325,NA,0.168,NA,0.56,NA,4249,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-296 d,NA,0.203,19.850242,NA,2014,Primary Transit,,,286.5400086,49.437325,NA,0.168,NA,0.56,NA,4249,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-296 e,NA,0.156,34.142347,NA,2014,Primary Transit,,,286.5400086,49.437325,NA,0.168,NA,0.56,NA,4249,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-296 f,NA,0.16,63.335879,NA,2014,Primary Transit,,,286.5400086,49.437325,NA,0.168,NA,0.56,NA,4249,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-297 b,NA,0.256,38.871826,NA,2014,Primary Transit,,,283.20916755,48.777645,NA,-0.12,NA,0.92,NA,5619,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-297 c,NA,0.583,74.920137,NA,2014,Primary Transit,,,283.20916755,48.777645,NA,-0.12,NA,0.92,NA,5619,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-298 b,NA,0.175,10.475464,NA,2014,Primary Transit,,,283.0397949,48.825359,NA,-0.121,0.65,0.58,NA,4465,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-298 c,NA,0.172,22.92881,NA,2014,Primary Transit,,,283.0397949,48.825359,NA,-0.121,0.65,0.58,NA,4465,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-298 d,NA,0.223,77.473633,NA,2014,Primary Transit,,,283.0397949,48.825359,NA,-0.121,0.65,0.58,NA,4465,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-299 b,NA,0.118,2.927128,NA,2014,Primary Transit,,,283.2069702,48.580502,NA,-0.052,0.97,1.03,NA,5617,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-299 c,NA,0.236,6.885875,NA,2014,Primary Transit,,,283.2069702,48.580502,NA,-0.052,0.97,1.03,NA,5617,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-299 d,NA,0.166,15.054786,NA,2014,Primary Transit,,,283.2069702,48.580502,NA,-0.052,0.97,1.03,NA,5617,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-299 e,NA,0.167,38.285489,NA,2014,Primary Transit,,,283.2069702,48.580502,NA,-0.052,0.97,1.03,NA,5617,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-30 b,0.036,0.35,29.334,NA,2012,Primary Transit,,,285.2833333,38.9472222,NA,0.18,0.99,0.95,NA,5498,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
Kepler-30 c,2.01,1.1,60.3231,NA,2012,Primary Transit,,,285.2833333,38.9472222,NA,0.18,0.99,0.95,NA,5498,Primary Transit,high mass planet,NA,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
Kepler-30 d,0.073,0.79,143.343,NA,2012,Primary Transit,,,285.2833333,38.9472222,NA,0.18,0.99,0.95,NA,5498,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Rich Star,Colder than Sun
Kepler-300 b,NA,0.149,10.446347,NA,2014,Primary Transit,,,295.28869635,48.59972,NA,-0.238,0.94,0.9,NA,5986,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-300 c,NA,0.201,40.714955,NA,2014,Primary Transit,,,295.28869635,48.59972,NA,-0.238,0.94,0.9,NA,5986,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-301 b,NA,0.12,2.508553,NA,2014,Primary Transit,,,283.9829712,49.23299,NA,-0.178,0.91,0.9,NA,5815,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-301 c,NA,0.12,5.419026,NA,2014,Primary Transit,,,283.9829712,49.23299,NA,-0.178,0.91,0.9,NA,5815,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-301 d,NA,0.156,13.751243,NA,2014,Primary Transit,,,283.9829712,49.23299,NA,-0.178,0.91,0.9,NA,5815,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-302 b,NA,0.362,30.184104,NA,2014,Primary Transit,,,294.31698615,43.629345,NA,-0.238,NA,1.22,NA,5740,Primary Transit,NA,small planet,NA,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-302 c,NA,1.111,127.282184,NA,2014,Primary Transit,,,294.31698615,43.629345,NA,-0.238,NA,1.22,NA,5740,Primary Transit,NA,large planet,NA,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-303 b,NA,0.079,1.937055,NA,2014,Primary Transit,,,283.1354676,43.657055,NA,0.102,0.59,0.48,NA,3944,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-303 c,NA,0.102,7.061149,NA,2014,Primary Transit,,,283.1354676,43.657055,NA,0.102,0.59,0.48,NA,3944,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-304 b,NA,0.255,3.295709,NA,2014,Primary Transit,,,294.4417725,40.557587,NA,0.523,0.8,0.69,NA,4731,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-304 c,NA,0.194,5.315946,NA,2014,Primary Transit,,,294.4417725,40.557587,NA,0.523,0.8,0.69,NA,4731,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-304 d,NA,0.245,9.653471,NA,2014,Primary Transit,,,294.4417725,40.557587,NA,0.523,0.8,0.69,NA,4731,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-304 e,NA,0.107,1.49914695,NA,2016,Primary Transit,,,294.4417725,40.557587,NA,0.523,0.8,0.69,NA,4731,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-305 b,0.0356,0.322,5.487,NA,2013,Primary Transit,,,299.225,40.3431,NA,-0.071,0.83,0.87,NA,4918,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-305 c,0.0192,0.295,8.291,NA,2013,Primary Transit,,,299.225,40.3431,NA,-0.071,0.83,0.87,NA,4918,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-305 d,NA,0.242,16.738661,NA,2014,Primary Transit,,,299.225,40.3431,NA,-0.071,0.83,0.87,NA,4918,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-306 b,NA,0.136,4.646186,NA,2014,Primary Transit,,,288.53866575,40.616138,NA,0.155,0.82,0.72,NA,4954,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-306 c,NA,0.21,7.240193,NA,2014,Primary Transit,,,288.53866575,40.616138,NA,0.155,0.82,0.72,NA,4954,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-306 d,NA,0.22,17.326644,NA,2014,Primary Transit,,,288.53866575,40.616138,NA,0.155,0.82,0.72,NA,4954,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-306 e,NA,0.203,44.840975,NA,2014,Primary Transit,,,288.53866575,40.616138,NA,0.155,0.82,0.72,NA,4954,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-307 b,0.0234,0.217,10.416,NA,2013,Primary Transit,TTV,Primary Transit,297.7958,40.4178,NA,0.158,0.78,1.03,NA,5445,Primary Transit,low mass planet,small planet,low mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-307 c,0.01147,0.196,13.084,NA,2013,Primary Transit,TTV,Primary Transit,297.7958,40.4178,NA,0.158,0.78,1.03,NA,5445,Primary Transit,low mass planet,small planet,low mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-308 b,NA,0.189,9.694928,NA,2014,Primary Transit,,,295.7851563,40.439548,NA,-0.112,NA,0.94,NA,5895,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-308 c,NA,0.193,15.38231,NA,2014,Primary Transit,,,295.7851563,40.439548,NA,-0.112,NA,0.94,NA,5895,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-309 b,NA,0.139,5.923653,NA,2014,Primary Transit,,,297.5098572,46.961281,NA,0.415,NA,0.72,NA,4713,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-309 c,NA,0.224,105.356383,NA,2014,Primary Transit,,,297.5098572,46.961281,NA,0.415,NA,0.72,NA,4713,Primary Transit,NA,small planet,NA,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-31 b,NA,0.38,20.8613,NA,2012,Primary Transit,,,294.025,45.8530556,NA,-0.08,1.21,1.22,NA,6340,Primary Transit,NA,small planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
Kepler-31 c,4.7,0.38,42.6318,NA,2012,Primary Transit,,,294.025,45.8530556,NA,-0.08,1.21,1.22,NA,6340,Primary Transit,high mass planet,small planet,high mass star,large star,2008-2012,Metal Poor Star,Hotter than Sun
Kepler-31 d,NA,0.407,87.648901,NA,2014,Primary Transit,,,294.025,45.8530556,NA,-0.08,1.21,1.22,NA,6340,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-310 b,NA,0.106,13.930698,NA,2014,Primary Transit,,,288.83935545,46.986744,NA,-0.299,0.85,0.88,NA,5797,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-310 c,NA,0.302,56.47542,NA,2014,Primary Transit,,,288.83935545,46.986744,NA,-0.299,0.85,0.88,NA,5797,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-310 d,NA,0.22,92.876125,NA,2014,Primary Transit,,,288.83935545,46.986744,NA,-0.299,0.85,0.88,NA,5797,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-311 b,NA,0.152,9.176092,NA,2014,Primary Transit,,,282.06127935,47.085491,NA,-0.057,1.06,1.19,NA,5905,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-311 c,NA,0.128,19.738286,NA,2014,Primary Transit,,,282.06127935,47.085491,NA,-0.057,1.06,1.19,NA,5905,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-312 b,NA,0.115,1.772419,NA,2014,Primary Transit,,,298.3957824,42.459755,NA,0.076,1.23,1.47,NA,6115,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-312 c,NA,0.281,19.747412,NA,2014,Primary Transit,,,298.3957824,42.459755,NA,0.076,1.23,1.47,NA,6115,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
Kepler-313 b,NA,0.226,14.970418,NA,2014,Primary Transit,,,298.2949218,48.775459,NA,-0.112,0.9,1.54,NA,5727,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-313 c,NA,0.229,32.273273,NA,2014,Primary Transit,,,298.2949218,48.775459,NA,-0.112,0.9,1.54,NA,5727,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-314 b,NA,0.074,2.461069,NA,2014,Primary Transit,,,294.67410285,42.075588,NA,0.157,1.02,0.95,NA,5378,Primary Transit,NA,small planet,high mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-314 c,NA,0.259,5.960392,NA,2014,Primary Transit,,,294.67410285,42.075588,NA,0.157,1.02,0.95,NA,5378,Primary Transit,NA,small planet,high mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-315 b,NA,0.336,96.101141,NA,2014,Primary Transit,,,298.02310185,43.363522,NA,-0.403,0.78,1.04,NA,5796,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-315 c,NA,0.37,265.469335,NA,2014,Primary Transit,,,298.02310185,43.363522,NA,-0.403,0.78,1.04,NA,5796,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-316 b,NA,0.095,2.240508,NA,2014,Primary Transit,,,290.82601935,44.184109,NA,-0.48,0.53,0.52,NA,4204,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-316 c,NA,0.103,6.827766,NA,2014,Primary Transit,,,290.82601935,44.184109,NA,-0.48,0.53,0.52,NA,4204,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-317 b,NA,0.186,5.524242,NA,2014,Primary Transit,,,294.94387815,39.032063,NA,0.258,0.95,0.94,NA,5497,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-317 c,NA,0.153,8.77501,NA,2014,Primary Transit,,,294.94387815,39.032063,NA,0.258,0.95,0.94,NA,5497,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-318 b,NA,0.42,4.662715,NA,2014,Primary Transit,,,298.48281855,46.793617,NA,0.145,1.05,1.19,NA,5746,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-318 c,NA,0.328,11.815007,NA,2014,Primary Transit,,,298.48281855,46.793617,NA,0.145,1.05,1.19,NA,5746,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Rich Star,Colder than Sun
Kepler-319 b,NA,0.145,4.362705,NA,2014,Primary Transit,,,288.81195075,39.770657,NA,0.487,1.29,0.9,NA,5526,Primary Transit,NA,small planet,high mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-319 c,NA,0.235,6.941357,NA,2014,Primary Transit,,,288.81195075,39.770657,NA,0.487,1.29,0.9,NA,5526,Primary Transit,NA,small planet,high mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-319 d,NA,0.204,31.781925,NA,2014,Primary Transit,,,288.81195075,39.770657,NA,0.487,1.29,0.9,NA,5526,Primary Transit,NA,small planet,high mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-32 b,4.1,0.37,5.90124,NA,2012,Primary Transit,,,297.8416667,46.5741667,NA,0,0.58,0.53,NA,3900,Primary Transit,high mass planet,small planet,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-32 c,0.5,0.33,8.7522,NA,2012,Primary Transit,,,297.8416667,46.5741667,NA,0,0.58,0.53,NA,3900,Primary Transit,low mass planet,small planet,low mass star,small star,2008-2012,Metal Poor Star,Colder than Sun
Kepler-320 b,NA,0.102,8.371554,NA,2014,Primary Transit,,,293.213562,46.175125,NA,-0.244,NA,1.11,NA,6435,Primary Transit,NA,small planet,NA,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-320 c,NA,0.122,17.934937,NA,2014,Primary Transit,,,293.213562,46.175125,NA,-0.244,NA,1.11,NA,6435,Primary Transit,NA,small planet,NA,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-321 b,NA,0.158,4.915379,NA,2014,Primary Transit,,,294.45367425,44.145756,NA,NA,1.01,1.19,NA,5740,Primary Transit,NA,small planet,high mass star,large star,After 2013,NA,Colder than Sun
Kepler-321 c,NA,0.207,13.093921,NA,2014,Primary Transit,,,294.45367425,44.145756,NA,NA,1.01,1.19,NA,5740,Primary Transit,NA,small planet,high mass star,large star,After 2013,NA,Colder than Sun
Kepler-322 b,NA,0.09,1.653888,NA,2014,Primary Transit,,,281.34881595,44.295242,NA,-0.06,0.91,0.89,NA,5388,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-322 c,NA,0.149,4.337234,NA,2014,Primary Transit,,,281.34881595,44.295242,NA,-0.06,0.91,0.89,NA,5388,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-323 b,NA,0.128,1.678327,NA,2014,Primary Transit,,,291.3822327,38.127472,NA,-0.078,1.09,1.18,NA,5987,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-323 c,NA,0.145,3.553822,NA,2014,Primary Transit,,,291.3822327,38.127472,NA,-0.078,1.09,1.18,NA,5987,Primary Transit,NA,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-324 b,NA,0.102,4.385315,NA,2014,Primary Transit,,,286.4714661,49.649021,NA,-0.009,0.86,0.84,NA,5194,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-324 c,NA,0.281,51.805612000000004,NA,2014,Primary Transit,,,286.4714661,49.649021,NA,-0.009,0.86,0.84,NA,5194,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-325 b,NA,0.26,4.544439,NA,2014,Primary Transit,,,289.8354492,49.825626,NA,-0.171,0.87,1,NA,5752,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-325 c,NA,0.227,12.762172,NA,2014,Primary Transit,,,289.8354492,49.825626,NA,-0.171,0.87,1,NA,5752,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-325 d,NA,0.249,38.715185,NA,2014,Primary Transit,,,289.8354492,49.825626,NA,-0.171,0.87,1,NA,5752,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-326 b,NA,0.136,2.248329,NA,2014,Primary Transit,,,294.32553105,46.002254,NA,0.133,0.98,0.8,NA,5105,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-326 c,NA,0.125,4.580358,NA,2014,Primary Transit,,,294.32553105,46.002254,NA,0.133,0.98,0.8,NA,5105,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-326 d,NA,0.108,6.766888,NA,2014,Primary Transit,,,294.32553105,46.002254,NA,0.133,0.98,0.8,NA,5105,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-327 b,NA,0.099,2.549575,NA,2014,Primary Transit,,,292.64236455,44.087673,NA,-0.042,0.55,0.49,NA,3799,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-327 c,NA,0.092,5.212333,NA,2014,Primary Transit,,,292.64236455,44.087673,NA,-0.042,0.55,0.49,NA,3799,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-327 d,NA,0.154,13.969457,NA,2014,Primary Transit,,,292.64236455,44.087673,NA,-0.042,0.55,0.49,NA,3799,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-328 b,0.069,0.206,34.921,NA,2013,Primary Transit,,,288.3125,46.7714,NA,-0.186,0.98,0.97,NA,5314,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-328 c,0.1,0.483,71.312,NA,2013,Primary Transit,,,288.3125,46.7714,NA,-0.186,0.98,0.97,NA,5314,Primary Transit,low mass planet,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-329 b,NA,0.125,7.416397,NA,2014,Primary Transit,,,299.26803585,45.227428,NA,-0.572,0.53,0.52,NA,4257,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-329 c,NA,0.172,18.684737,NA,2014,Primary Transit,,,299.26803585,45.227428,NA,-0.572,0.53,0.52,NA,4257,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-33 b,NA,0.16,5.66793,NA,2012,Primary Transit,,,289.0791667,46.0052778,NA,NA,1.291,1.82,4.27,5904,Primary Transit,NA,small planet,high mass star,large star,2008-2012,NA,Hotter than Sun
Kepler-33 c,NA,0.29,13.17562,NA,2012,Primary Transit,,,289.0791667,46.0052778,NA,NA,1.291,1.82,4.27,5904,Primary Transit,NA,small planet,high mass star,large star,2008-2012,NA,Hotter than Sun
Kepler-33 d,NA,0.48,21.77596,NA,2012,Primary Transit,,,289.0791667,46.0052778,NA,NA,1.291,1.82,4.27,5904,Primary Transit,NA,small planet,high mass star,large star,2008-2012,NA,Hotter than Sun
Kepler-33 e,NA,0.36,31.7844,NA,2012,Primary Transit,,,289.0791667,46.0052778,NA,NA,1.291,1.82,4.27,5904,Primary Transit,NA,small planet,high mass star,large star,2008-2012,NA,Hotter than Sun
Kepler-33 f,NA,0.4,41.02902,NA,2012,Primary Transit,,,289.0791667,46.0052778,NA,NA,1.291,1.82,4.27,5904,Primary Transit,NA,small planet,high mass star,large star,2008-2012,NA,Hotter than Sun
Kepler-330 b,NA,0.12,8.25978,NA,2014,Primary Transit,,,288.44738775,44.801685,NA,-0.097,0.78,0.72,NA,5117,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-330 c,NA,0.174,15.955387,NA,2014,Primary Transit,,,288.44738775,44.801685,NA,-0.097,0.78,0.72,NA,5117,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-331 b,NA,0.162,8.457496,NA,2014,Primary Transit,,,291.8343201,39.307358,NA,-0.85,0.51,0.49,NA,4347,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-331 c,NA,0.164,17.28111,NA,2014,Primary Transit,,,291.8343201,39.307358,NA,-0.85,0.51,0.49,NA,4347,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-331 d,NA,0.146,32.134327999999996,NA,2014,Primary Transit,,,291.8343201,39.307358,NA,-0.85,0.51,0.49,NA,4347,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-332 b,NA,0.104,7.626324,NA,2014,Primary Transit,,,286.6629639,47.4137,NA,0.05,0.8,0.72,NA,4955,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-332 c,NA,0.097,15.995622,NA,2014,Primary Transit,,,286.6629639,47.4137,NA,0.05,0.8,0.72,NA,4955,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-332 d,NA,0.105,34.21154,NA,2014,Primary Transit,,,286.6629639,47.4137,NA,0.05,0.8,0.72,NA,4955,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Rich Star,Colder than Sun
Kepler-333 b,NA,0.118,12.551158,NA,2014,Primary Transit,,,292.2860718,40.913586,NA,-0.472,0.54,0.53,NA,4259,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-333 c,NA,0.099,24.08821,NA,2014,Primary Transit,,,292.2860718,40.913586,NA,-0.472,0.54,0.53,NA,4259,Primary Transit,NA,small planet,low mass star,small star,After 2013,Metal Poor Star,Colder than Sun
Kepler-334 b,NA,0.1,5.470319,NA,2014,Primary Transit,,,287.14065555,47.115196,NA,-0.074,1,1.07,NA,5828,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-334 c,NA,0.128,12.758005,NA,2014,Primary Transit,,,287.14065555,47.115196,NA,-0.074,1,1.07,NA,5828,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-334 d,NA,0.126,25.09849,NA,2014,Primary Transit,,,287.14065555,47.115196,NA,-0.074,1,1.07,NA,5828,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-335 b,NA,0.302,6.562331,NA,2014,Primary Transit,,,296.0643006,45.428623,NA,-0.106,0.99,1.85,NA,5877,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-335 c,NA,0.274,67.844469,NA,2014,Primary Transit,,,296.0643006,45.428623,NA,-0.106,0.99,1.85,NA,5877,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-336 b,NA,0.091,2.024823,NA,2014,Primary Transit,,,290.23764045,41.331371,NA,-0.401,0.89,1.3,NA,5867,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-336 c,NA,0.187,9.600001,NA,2014,Primary Transit,,,290.23764045,41.331371,NA,-0.401,0.89,1.3,NA,5867,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-336 d,NA,0.211,20.678772,NA,2014,Primary Transit,,,290.23764045,41.331371,NA,-0.401,0.89,1.3,NA,5867,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
Kepler-337 b,NA,0.137,3.292781,NA,2014,Primary Transit,,,290.0604858,47.163956,NA,-0.131,0.96,1.76,NA,5684,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-337 c,NA,0.183,9.693201,NA,2014,Primary Transit,,,290.0604858,47.163956,NA,-0.131,0.96,1.76,NA,5684,Primary Transit,NA,small planet,low mass star,large star,After 2013,Metal Poor Star,Colder than Sun
Kepler-338 b,0.0963,0.23,13.72699,0.04,2014,Primary Transit,,,282.9789429,40.784348,NA,-0.106,1.1,1.74,NA,5923,Primary Transit,low mass planet,small planet,high mass star,large star,After 2013,Metal Poor Star,Hotter than Sun
